	queryItem	preferredName
705	ATP5G3	ATP5MC3
706	VBP1	VBP1
707	RYBP	RYBP
708	UMPS	UMPS
709	LMBR1L	LMBR1L
710	BLCAP	BLCAP
711	PSMB4	PSMB4
712	PSME1	PSME1
713	NCL	NCL
714	COX7B	COX7B
715	ISG20L2	ISG20L2
716	CD63	CD63
717	OLA1	OLA1
719	SPSB3	SPSB3
720	PSMC2	PSMC2
721	ARHGAP1	ARHGAP1
722	CTDSP2	CTDSP2
723	PSMB7	PSMB7
724	PFDN5	PFDN5
725	OS9	OS9
726	SRSF7	SRSF7
727	COX7A2	COX7A2
728	TOMM70A	TOMM70
729	PSMG2	PSMG2
730	EIF2S2	EIF2S2
731	MTHFD1	MTHFD1
732	HSPD1	HSPD1
733	YRDC	YRDC
734	CPSF6	CPSF6
735	KHNYN	KHNYN
736	SRSF1	SRSF1
737	ELAVL1	ELAVL1
738	USP14	USP14
739	YTHDF2	YTHDF2
740	YWHAE	YWHAE
741	RAD1	RAD1
742	PSMA2	PSMA2
743	DRG1	DRG1
744	XPO1	XPO1
745	POLR2B	POLR2B
746	DGUOK	DGUOK
747	SET	SET
748	SDF2	SDF2
749	SUPT7L	SUPT7L
750	VDAC2	VDAC2
751	COX15	COX15
752	EIF2S1	EIF2S1
753	TMEM258	TMEM258
754	MTCH2	MTCH2
755	TBC1D9B	TBC1D9B
756	PSMA4	PSMA4
757	XRCC6	XRCC6
758	NDUFA9	NDUFA9
759	STRAP	STRAP
760	SNRPE	SNRPE
761	ATP5C1	ATP5F1C
762	NUP107	NUP107
763	CDK4	CDK4
764	GABARAP	GABARAP
765	PHB2	PHB2
766	DEDD	DEDD
767	POMP	POMP
768	VPS11	VPS11
769	EFCAB14	EFCAB14
770	STAMBP	STAMBP
771	ANAPC13	ANAPC13
772	NARS	NARS1
773	SRSF3	SRSF3
774	POP4	POP4
775	UBC	UBC
776	TARDBP	TARDBP
777	MYL6	MYL6
